file_name,calc_ens,method,num_clusters,t_clustering,t_create_model,t_solve,energy_not_served,true_operational_cost,investment_cost,investment_cost_renewables,total_capacity,renewables_capacity,cost_Battery,capacity_Battery,cost_Coal,capacity_Coal,cost_Gas,capacity_Gas,cost_Nuclear,capacity_Nuclear,cost_OCGT,capacity_OCGT,cost_Solar,capacity_Solar,cost_Wind_Offshore,capacity_Wind_Offshore,cost_Wind_Onshore,capacity_Wind_Onshore
ward_k2000_perlocation_Afterwards_hp0.95_lp0.05_basedataset,False,Afterwards,2000,10.57953405380249,31.81872701644897,282.8001158237457,2.667247828111911,17677163.99,151629695.99162334,141093234.26065052,2305.027053657884,2192.50708608226,0.0,0.0,163689.9099728108,0.38973788088764477,9988321.821000012,105.14022969473696,0.0,0.0,384450.0,6.99,29702519.7706568,864.8789223440186,24554043.487016838,205.07397185075507,86836671.00297688,1122.5541918874862
ward_k1000_perprofile_DynamicProgramming_s168_hp0.95_lp0.05_basedataset,False,DynamicProgramming,1000,306.3487980365753,35.56499099731445,333.8894519805908,3.457363939561617,17603203.1,151505443.447862,141792912.49658117,2279.0580661862914,2182.493694441058,0.0,0.0,1084137.1289327545,2.5812788784113203,8215893.822348086,86.48309286682198,0.0,0.0,412500.0,7.5,30287701.740129095,881.9182696802111,30790395.474601045,257.15962823681963,80714815.28185104,1043.4157965240272
ward_k2000_global_SeperateExtremesSum_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,2000,11.965687036514282,30.08555793762207,70.2823281288147,10.36340434064239,16636592.44,150309626.63896656,141993590.23435545,2417.050230967967,2329.4706815977215,0.0,0.0,394488.830965752,0.9392591213470286,7496287.573645371,78.90829024889865,0.0,0.0,425260.0,7.732000000000001,37322238.39329099,1086.750133331947,24126773.534408923,201.50543755699937,80544578.30665553,1041.2151107087752
ward_k2000_global_Afterwards_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,2000,11.220691919326782,27.578646898269653,73.62115097045898,2.0631143956363616,16371583.12,152512275.07357106,143914366.07307935,2331.241782390975,2241.129397192065,0.0,0.0,409492.9535728302,0.9749832227924529,7803914.978302014,82.14647345581068,0.0,0.0,384501.0686168643,6.990928520306623,31678729.309168976,922.422255003724,28891184.29615069,241.29752471182965,83344452.46775968,1077.4096174765111
ward_k2000_global_NoExtremePreservation_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,2000,7.256538867950439,28.663421869277958,94.36572813987732,261.0193417685063,35345462.16,144597546.00241935,138094363.00878248,2369.8146693192775,2298.5465477776243,0.0,0.0,0.0,0.0,6135661.233509226,64.58590772114975,0.0,0.0,367521.7601276705,6.682213820503101,37306828.75180874,1086.3014348975457,19814129.37383318,165.48647930860034,80973404.88314055,1046.7586335714784
ward_k2000_perlocation_NoExtremePreservation_hp0.95_lp0.05_basedataset,False,NoExtremePreservation,2000,16.571624040603638,31.7207989692688,282.71562600135803,37.49037198835998,20904401.25,145501135.38816214,137495430.9465549,2323.9516961971694,2236.5804915486724,0.0,0.0,0.0,0.0,7600684.44160725,80.00720464849738,0.0,0.0,405020.0,7.364000000000001,34116998.96055614,993.4198688344254,20377490.97572326,170.19164330119855,83000941.01027548,1072.9689794130481
ward_k1500_global_DynamicProgramming_s168_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,1500,13.664055109024048,23.266037940979004,40.16907286643982,5.349397933770391,16851436.8,152070251.66521713,142946667.61065924,2346.2694393178003,2249.412522854264,0.0,0.0,299113.6492898959,0.7121753554521332,8399210.405267995,88.41274110808416,0.0,0.0,425260.0,7.732000000000001,32868000.69627199,957.0514973573767,28555149.244173974,238.49097910860235,81523517.67021327,1053.870046388285
ward_k1500_global_SeperateExtremesSum_hp0.95_lp0.05_basedataset,False,NoExtremePreservation Global,1500,9.97260308265686,23.448310136795044,47.80551099777222,9.98012084939539,16372270.33,152867189.20519215,143800089.38597745,2408.734892019184,2314.2036338993266,0.0,0.0,417351.15411645867,0.9936932240868063,8324808.665098239,87.62956489577094,0.0,0.0,324940.0,5.9079999999999995,34774539.51607184,1012.5661557973824,23552076.26342257,196.70559870213714,85473473.60648306,1104.931879399807
ward_k500_perprofile_NoExtremePreservation_hp0.95_lp0.05_basedataset,False,NoExtremePreservation,500,9.916194915771484,25.15700602531433,459.4984650611877,192.7765667834514,32304663.45,145351977.37298712,136385431.3420357,2298.3462161965244,2200.8036263970357,0.0,0.0,0.0,0.0,8554046.03095141,90.04258979948855,0.0,0.0,412500.0,7.5,32603358.869244337,949.345648158921,19704430.5519761,164.57028100026574,84077641.92081527,1086.887697237849
ward_k1500_perprofile_SeperateExtremesSum_hp0.95_lp0.05_basedataset,False,SeperateExtremesSum,1500,7.634516954421997,42.77704906463623,593.8048579692841,10.25290764952959,17364842.31,148469569.8105636,140122145.3510357,2359.4854405899146,2271.807453526976,0.0,0.0,422966.735970659,1.0070636570729976,7499197.723557249,78.93892340586576,0.0,0.0,425260.0,7.732000000000001,35516586.70747626,1034.1731096917213,25052555.844983704,209.23751865391228,79553002.79857574,1028.3968251813424
