experiment_name,method,num_clusters,clustering_method,high_percentile,low_percentile,tops_window,investment_cost,investment_cost_renewables,total_capacity,renewables_capacity,cost_Battery,cost_Coal,cost_Gas,cost_Nuclear,cost_OCGT,cost_Solar,cost_Wind_Offshore,cost_Wind_Onshore,capacity_Battery,capacity_Coal,capacity_Gas,capacity_Nuclear,capacity_OCGT,capacity_Solar,capacity_Wind_Offshore,capacity_Wind_Onshore
ward_k3600_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,3600,perlocation,0.95,0.05,5,6.115729538275859e6,4.056656236156575e6,2350.813326884472,2269.8097520187785,0.0,0.0,999913.6907545073,0.0,1.059159611364778e6,748823.521099428,371203.82677133876,2.936628888285808e6,0.0,0.0,74.10768900393445,0.0,6.895885861758908,1025.2964775445253,189.51405748760067,1054.9992169866528
ward_k3700_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,3700,perlocation,0.95,0.05,5,6.104614661303588e6,4.052871365042791e6,2349.981147889407,2268.8700648834497,0.0,0.0,998550.9220236905,0.0,1.0531923742371073e6,749026.6647876465,369589.5042395381,2.934255196015606e6,0.0,0.0,74.337362762485,0.0,6.773720243472416,1024.1308911601268,189.01868905090083,1055.7204846724221
ward_k3800_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,3800,perlocation,0.95,0.05,5,6.109634994535391e6,4.0581430703628794e6,2348.840431859021,2267.8311295739563,0.0,0.0,998299.5499354053,0.0,1.0531923742371073e6,748491.3018788025,369587.14014917455,2.940064628334902e6,0.0,0.0,74.23558204159215,0.0,6.773720243472415,1023.028393659897,189.70149079932827,1055.101245114731
ward_k3900_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,3900,perlocation,0.95,0.05,5,6.105073204115506e6,4.04521252764267e6,2348.9356742016844,2267.747184093955,0.0,0.0,1.0066703686535463e6,0.0,1.05319030781929e6,747388.114820542,364912.9571826358,2.9329114556394923e6,0.0,0.0,74.4148121694655,0.0,6.77367793826401,1021.7574939714228,188.25629307026588,1057.7333970522666
ward_k4000_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,4000,perlocation,0.95,0.05,5,6.091526648673298e6,4.0430857733358247e6,2349.0753923525026,2267.705126424171,0.0,0.0,995154.971827503,0.0,1.0532859035099698e6,748204.986029072,363032.18616610405,2.931848601140649e6,0.0,0.0,74.59463088556427,0.0,6.775635042767744,1022.1813419331868,187.5761925246988,1057.947591966285
ward_k400_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,400,perlocation,0.95,0.05,5,8.055434108312344e6,5.268534053154141e6,1711.2222262124017,1580.1521899078439,0.0,146091.02208917824,1.2465767227762889e6,514232.3102927364,880000.0,191736.8823979459,1.3195089049960976e6,3.7572882657600967e6,0.0,0.8681980741299735,105.63508353076047,8.66075469966714,15.905999999999999,43.111424707686844,313.86239922170813,1223.178365978449
ward_k4100_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,4100,perlocation,0.95,0.05,5,6.088448248148289e6,4.04446929251586e6,2349.5763755948224,2268.636212736534,0.0,0.0,990734.9834643536,0.0,1.0532439721680745e6,750355.483699671,358803.5629584622,2.935310245857727e6,0.0,0.0,74.16538626444743,0.0,6.774776593840945,1023.7465636163986,188.01270355738563,1056.8769455627498
ward_k4200_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,4200,perlocation,0.95,0.05,5,6.085528532276644e6,4.037532711594028e6,2349.1390163794294,2268.209528506708,0.0,0.0,994822.4146489993,0.0,1.0531734060336165e6,747206.0470190884,360511.49283641914,2.9298151717385207e6,0.0,0.0,74.15615596010595,0.0,6.773331912615497,1022.7967458345213,187.83848152286944,1057.574301149317
ward_k4300_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,4300,perlocation,0.95,0.05,5,6.096043686582376e6,4.0366845746474895e6,2348.679765431428,2267.68347795507,0.0,0.0,981224.7330610325,0.0,1.0781343788738549e6,748372.5737505952,362702.81388252723,2.925609187014367e6,0.0,0.0,73.71193637432239,0.0,7.284351102035648,1022.7610149538165,189.13232247834452,1055.790140522909
ward_k4400_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,4400,perlocation,0.95,0.05,5,6.09381902814991e6,4.037910106521858e6,2349.105145073709,2268.003673729725,0.0,0.0,975555.6361445811,0.0,1.0803532854834716e6,748826.1031864993,360615.0636351371,2.9284689397002216e6,0.0,0.0,73.77169317208597,0.0,7.3297781718979795,1022.8568409582462,187.72125825765482,1057.4255745138241
ward_k4500_perlocation_SeperateExtremesSum_hp0.95_lp0.05,SeperateExtremesSum,4500,perlocation,0.95,0.05,5,6.101133733527543e6,4.0434869975978606e6,2348.292974827914,2267.279525218534,0.0,0.0,979968.230338263,0.0,1.07767850559142e6,747785.5074251405,359511.9010873805,2.9361895890853396e6,0.0,0.0,73.73843147672648,0.0,7.275018132653438,1021.8956726451279,187.87608343769102,1057.5077691357153
