from_asset,to_asset,carrier,capacity,is_transport
HR_Wind_Offshore,HR_E_Balance,electricity,,
HR_Wind_Onshore,HR_E_Balance,electricity,,
HR_electrolyzer,HR_H_Demand,hydrogen,,
HU_Battery,HU_E_Balance,electricity,,
HU_E_Balance,AT_E_Balance,electricity,1,true
HU_E_Balance,HU_Battery,electricity,,
HU_E_Balance,HU_E_Demand,electricity,,
HU_E_Balance,HU_electrolyzer,electricity,,
HU_E_Balance,SI_E_Balance,electricity,1,true
HU_E_ENS,HU_E_Demand,electricity,,
HU_Gas,HU_E_Balance,electricity,,
HU_Hydro,HU_E_Balance,electricity,,
HU_Nuclear,HU_E_Balance,electricity,,
HU_OCGT,HU_E_Balance,electricity,,
HU_Solar,HU_E_Balance,electricity,,
HU_Wind_Onshore,HU_E_Balance,electricity,,
HU_electrolyzer,HU_H_Demand,hydrogen,,
IE_Battery,IE_E_Balance,electricity,,
IE_E_Balance,FR_E_Balance,electricity,1,true
IE_E_Balance,IE_Battery,electricity,,
IE_E_Balance,IE_E_Demand,electricity,,
IE_E_Balance,IE_Pump_Hydro_Closed,electricity,,
IE_E_Balance,IE_electrolyzer,electricity,,
IE_E_Balance,UK_E_Balance,electricity,1,true
IE_E_ENS,IE_E_Demand,electricity,,
IE_Gas,IE_E_Balance,electricity,,
IE_Hydro,IE_E_Balance,electricity,,
IE_OCGT,IE_E_Balance,electricity,,
IE_Pump_Hydro_Closed,IE_E_Balance,electricity,,
IE_Solar,IE_E_Balance,electricity,,
IE_Wind_Offshore,IE_E_Balance,electricity,,
IE_Wind_Onshore,IE_E_Balance,electricity,,
IE_electrolyzer,IE_H_Demand,hydrogen,,
IT_Battery,IT_E_Balance,electricity,,
IT_E_Balance,AT_E_Balance,electricity,1,true
IT_E_Balance,CH_E_Balance,electricity,1,true
IT_E_Balance,FR_E_Balance,electricity,1,true
IT_E_Balance,IT_Battery,electricity,,
IT_E_Balance,IT_E_Demand,electricity,,
IT_E_Balance,IT_Pump_Hydro_Closed,electricity,,
IT_E_Balance,IT_Pump_Hydro_Open,electricity,,
IT_E_Balance,IT_electrolyzer,electricity,,
IT_E_ENS,IT_E_Demand,electricity,,
IT_Gas,IT_E_Balance,electricity,,
IT_Hydro,IT_E_Balance,electricity,,
IT_Hydro_Reservoir,IT_E_Balance,electricity,,
IT_OCGT,IT_E_Balance,electricity,,
IT_Pump_Hydro_Closed,IT_E_Balance,electricity,,
IT_Pump_Hydro_Open,IT_E_Balance,electricity,,
IT_Solar,IT_E_Balance,electricity,,
IT_Wind_Offshore,IT_E_Balance,electricity,,
IT_Wind_Onshore,IT_E_Balance,electricity,,
IT_electrolyzer,IT_H_Demand,hydrogen,,
LT_Battery,LT_E_Balance,electricity,,
LT_E_Balance,LT_Battery,electricity,,
LT_E_Balance,LT_E_Demand,electricity,,
LT_E_Balance,LT_Pump_Hydro_Closed,electricity,,
LT_E_Balance,LT_electrolyzer,electricity,,
LT_E_Balance,PL_E_Balance,electricity,1,true
LT_E_Balance,SE_E_Balance,electricity,1,true
LT_E_ENS,LT_E_Demand,electricity,,
LT_Gas,LT_E_Balance,electricity,,
LT_Hydro,LT_E_Balance,electricity,,
LT_Pump_Hydro_Closed,LT_E_Balance,electricity,,
LT_Solar,LT_E_Balance,electricity,,
LT_Wind_Offshore,LT_E_Balance,electricity,,
LT_Wind_Onshore,LT_E_Balance,electricity,,
LT_electrolyzer,LT_H_Demand,hydrogen,,
LU_E_Balance,BE_E_Balance,electricity,1,true
LU_E_Balance,DE_E_Balance,electricity,1,true
LU_E_Balance,FR_E_Balance,electricity,1,true
LU_E_Balance,LU_E_Demand,electricity,,
LU_E_Balance,LU_Pump_Hydro_Closed,electricity,,
